"the_geom","segmentid","bikeid","prevbikeid","status","boro","street","fromstreet","tostreet","onoffst","facilitycl","allclasses","bikedir","lanecount","ft_facilit","tf_facilit","ft2facilit","tf2facilit","instdate","ret_date","grnwy","gwsystem","gwsys2","spur","gwyjuris"
"MULTILINESTRING ((-73.95620723282327 40.794235575174184, -73.95617046691007 40.79426782611781, -73.95613100894633 40.79429818497477, -73.95608902727335 40.79432652033353, -73.95604470088966 40.794352712492994, -73.95599821826997 40.794376648059554, -73.95594977854509 40.79439822715112, -73.95589958795253 40.79441735529171, -73.95584786101553 40.794433952416675, -73.95579481817659 40.794447947469045, -73.95574068698114 40.79445928020088, -73.95568569615175 40.79446790297208, -73.95563008269917 40.79447377805166, -73.95557408362545 40.794476881216546, -73.95551793711134 40.794477198150155, -73.9554618825127 40.79447472894472, -73.95540616036445 40.79446948269839, -73.95535100763682 40.79446148291655, -73.95483974958175 40.79428737555889))","37721.0","6574.0","134","Current","1","C P 102 CENTER DR","WEST DR","EAST DR","OFF","I","I","2","2","Protected","Protected",,,"2018-06-27T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95483974958175 40.79428737555889, -73.95482008577022 40.79433003895023, -73.95479818409869 40.79437206840885, -73.9547740801568 40.79441339550933, -73.95474781190325 40.79445395362828, -73.95471942203528 40.794493677944985, -73.95468895680526 40.79453250364005, -73.95465646364966 40.794570367695535, -73.95462199711226 40.79460721069818, -73.95458561292335 40.79464297143421, -73.9545473668101 40.794677594092825, -73.95450732398028 40.79471102106589, -73.95446554608463 40.79474319924641, -73.95442210188297 40.79477407643073, -73.95437706250362 40.794803603117586))","37722.0","2217.0","NA","Current","1","EAST DR","TERRACE DR","CENTRAL PARK N","ON","I","I","R","1","Protected",,,,"1979-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95916819167725 40.794684507824186, -73.95911149001512 40.79480710881, -73.9590315188207 40.7949261445223, -73.95892890829316 40.79503786905746, -73.95880567494112 40.79513865406138, -73.95866515025546 40.79522539393837, -73.95851163693041 40.795295766884756, -73.95835001767837 40.79534848689877, -73.9581852812409 40.79538331262148))","37723.0","6451.0","2218","Current","1","WEST DR","CENTRAL PARK N","TERRACE DR","ON","I","I","L","1",,"Protected",,,"2012-09-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95916819167725 40.794684507824186, -73.95911149001512 40.79480710881, -73.9590315188207 40.7949261445223, -73.95892890829316 40.79503786905746, -73.95880567494112 40.79513865406138, -73.95866515025546 40.79522539393837, -73.95851163693041 40.795295766884756, -73.95835001767837 40.79534848689877, -73.9581852812409 40.79538331262148))","37723.0","2218.0","NA","Retired","1","WEST DR","CENTRAL PARK N","TERRACE DR","ON","II","II","L","1",,"Conventional",,,"1979-05-01T00:00:00.000","2012-09-15T00:00:00.000",,,,,
"MULTILINESTRING ((-73.95469952573598 40.795713615273215, -73.95472343018275 40.79569110136209, -73.95474914080987 40.7956697678099, -73.95477655802719 40.79564969832285, -73.95480557158484 40.79563097029952, -73.95483607005055 40.79561365843655, -73.95486793370269 40.79559783022335, -73.95490103689936 40.79558354774417, -73.95493525163336 40.79557086677891, -73.9549704427934 40.79555983590074, -73.95500647171608 40.79555050007968, -73.9550431997451 40.795542894380375, -73.95508048111782 40.795537049362345, -73.95511817126182 40.79553298838177, -73.95515612087098 40.79553072578816, -73.95519418301177 40.79553027233013, -73.95523220720312 40.79553162794916, -73.95527004652108 40.79553478898617, -73.95530755049367 40.79553974187561, -73.95534457457688 40.79554646765126, -73.95538097186157 40.795554940142175, -73.95541660018286 40.79556512597551, -73.95545132211946 40.79557698547683))","37729.0","2217.0","NA","Current","1","EAST DR","TERRACE DR","CENTRAL PARK N","ON","I","I","R","1","Protected",,,,"1979-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95364860023142 40.77102410754475, -73.95139828737182 40.77007254589262))","37731.0","2242.0","NA","Current","1","E 77 ST","YORK AVE","5 AVE","ON","II","II","L","1",,"Conventional",,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95364860023142 40.77102410754475, -73.95318747606615 40.77165689387803))","37732.0","19.0","NA","Retired","1","1 AV","E 72 ST","E 96 ST","ON","II","II","R","1","Conventional",,,,"1981-01-01T00:00:00.000","1981-01-01T00:00:00.000",,,,,
"MULTILINESTRING ((-73.95364860023142 40.77102410754475, -73.95318747606615 40.77165689387803))","37732.0","8254.0","19","Current","1","1 AV","E 72 ST","E 96 ST","ON","I","I","R","1","Protected",,,,"2013-10-10T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95318747606615 40.77165689387803, -73.95268752466563 40.77234302078636))","37733.0","8254.0","19","Current","1","1 AV","E 72 ST","E 96 ST","ON","I","I","R","1","Protected",,,,"2013-10-10T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95318747606615 40.77165689387803, -73.95268752466563 40.77234302078636))","37733.0","19.0","NA","Retired","1","1 AV","E 72 ST","E 96 ST","ON","II","II","R","1","Conventional",,,,"1981-01-01T00:00:00.000","1981-01-01T00:00:00.000",,,,,
"MULTILINESTRING ((-73.95318747606615 40.77165689387803, -73.95093257388677 40.77070866222955))","37734.0","2240.0","NA","Current","1","E 78 ST","5 AVE","YORK AVE","ON","II","II","R","1","Conventional",,,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95268752466563 40.77234302078636, -73.95218621929436 40.77301984450154))","37735.0","19.0","NA","Retired","1","1 AV","E 72 ST","E 96 ST","ON","II","II","R","1","Conventional",,,,"1981-01-01T00:00:00.000","1981-01-01T00:00:00.000",,,,,
"MULTILINESTRING ((-73.95268752466563 40.77234302078636, -73.95218621929436 40.77301984450154))","37735.0","8254.0","19","Current","1","1 AV","E 72 ST","E 96 ST","ON","I","I","R","1","Protected",,,,"2013-10-10T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95093257388677 40.77070866222955, -73.94945457567087 40.77008525317657))","37739.0","2241.0","NA","Current","1","E 78 ST","CHEROKEE PL","YORK AVE","ON","II","II","L","1",,"Conventional",,,"2016-07-15T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95362762524225 40.77529067344609, -73.95316583185114 40.775923197883046))","37743.0","2534.0","NA","Current","1","2 AVE","E 84 ST","E 74 ST","ON","I","I","L","1",,"Protected",,,"2017-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.95316583185114 40.775923197883046, -73.95270421517729 40.77656141166118))","37746.0","2534.0","NA","Current","1","2 AVE","E 84 ST","E 74 ST","ON","I","I","L","1",,"Protected",,,"2017-12-01T00:00:00.000",,,,,,
