"the_geom","segmentid","bikeid","prevbikeid","status","boro","street","fromstreet","tostreet","onoffst","facilitycl","allclasses","bikedir","lanecount","ft_facilit","tf_facilit","ft2facilit","tf2facilit","instdate","ret_date","grnwy","gwsystem","gwsys2","spur","gwyjuris"
"MULTILINESTRING ((-74.00255806000575 40.716180773180646, -74.00207771771657 40.716730895495836))","32064.0","7017.0","4307","Current","1","LAFAYETTE ST","KENMARE ST","WORTH ST","ON","I","I","L","1",,"Protected",,,"2023-07-17T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00255806000575 40.716180773180646, -74.00207771771657 40.716730895495836))","32064.0","416.0","NA","Retired","1","LAFAYETTE ST","SPRING ST","READE ST","ON","II","II","L","1",,"Conventional",,,"2007-09-01T00:00:00.000","2021-11-09T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00207771771657 40.716730895495836, -74.00158824870815 40.71729189405406))","32069.0","4307.0","416","Retired","1","LAFAYETTE ST","SPRING ST","WORTH ST","ON","II","II","L","1",,"Conventional",,,"2007-09-01T00:00:00.000","2023-07-17T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00207771771657 40.716730895495836, -74.00158824870815 40.71729189405406))","32069.0","416.0","NA","Retired","1","LAFAYETTE ST","SPRING ST","READE ST","ON","II","II","L","1",,"Conventional",,,"2007-09-01T00:00:00.000","2021-11-09T00:00:00.000",,,,,
"MULTILINESTRING ((-73.9903151767449 40.76160631549394, -73.98986283990614 40.7622355040388))","33852.0","69.0","NA","Current","1","9 AV","W 59 ST","W 33 ST","ON","I","I","L","1",,"Protected",,,"2012-10-05T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00207771771657 40.716730895495836, -74.00158824870815 40.71729189405406))","32069.0","7017.0","4307","Current","1","LAFAYETTE ST","KENMARE ST","WORTH ST","ON","I","I","L","1",,"Protected",,,"2023-07-17T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00168306195299 40.7157441228933, -74.00081842595583 40.71692970794558))","32071.0","7016.0","NA","Current","1","CENTRE ST","WORTH ST","BROOME ST","ON","I","I","R","1","Protected",,,,"2023-07-17T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00098818087194 40.717931901336215, -74.00053195572396 40.71843023844442))","32077.0","7017.0","4307","Current","1","LAFAYETTE ST","KENMARE ST","WORTH ST","ON","I","I","L","1",,"Protected",,,"2023-07-17T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00098818087194 40.717931901336215, -74.00053195572396 40.71843023844442))","32077.0","416.0","NA","Retired","1","LAFAYETTE ST","SPRING ST","READE ST","ON","II","II","L","1",,"Conventional",,,"2007-09-01T00:00:00.000","2021-11-09T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00444777107114 40.72271765130794, -74.00382928992389 40.72344931847255))","32098.0","503.0","NA","Current","1","THOMPSON ST","WATTS ST","GRAND ST","ON","III","III","L","1",,"Shared",,,"2009-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00444777107114 40.72271765130794, -74.00376737304171 40.72238412599491))","32099.0","378.0","NA","Current","1","GRAND ST","VARICK ST","CHRYSTIE ST","ON","I","I","R","1","Protected",,,,"2008-11-04T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00382928992389 40.72344931847255, -74.00363545902142 40.72368202626149))","32101.0","502.0","NA","Current","1","THOMPSON ST","BROOME ST","WATTS ST","ON","II","II","L","1",,"Curbside",,,"2009-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00376737304171 40.72238412599491, -74.00297103188355 40.72199478792023))","32102.0","379.0","NA","Retired","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","II","II","R","1","Conventional",,,,"2006-10-01T00:00:00.000","2008-11-04T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00376737304171 40.72238412599491, -74.00297103188355 40.72199478792023))","32102.0","6308.0","379","Current","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","I","I","R","1","Protected",,,,"2008-11-04T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00376737304171 40.72238412599491, -74.00298147088617 40.72330841384095))","32103.0","601.0","NA","Current","1","W BROADWAY","GRAND ST","HOUSTON ST","ON","III","III","2","2","Shared","Shared",,,"2013-11-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00363545902142 40.72368202626149, -74.00437984927545 40.724054143904084))","32104.0","131.0","NA","Current","1","BROOME ST","THOMPSON ST","6 AVE","ON","III","III","R","1","Shared",,,,"2013-11-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00363545902142 40.72368202626149, -74.00261903393496 40.72488003637735))","32105.0","501.0","NA","Current","1","THOMPSON ST","BLEECKER ST","BROOME ST","ON","III","III","L","1",,"Shared",,,"2009-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00297103188355 40.72199478792023, -74.0022081964403 40.72162113866016))","32106.0","6308.0","379","Current","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","I","I","R","1","Protected",,,,"2008-11-04T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00297103188355 40.72199478792023, -74.0022081964403 40.72162113866016))","32106.0","379.0","NA","Retired","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","II","II","R","1","Conventional",,,,"2006-10-01T00:00:00.000","2008-11-04T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00298147088617 40.72330841384095, -74.00363545902142 40.72368202626149))","32109.0","132.0","NA","Current","1","BROOME ST","W BROADWAY","THOMPSON ST","ON","II","II","R","1","Curbside",,,,"2013-11-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0022081964403 40.72162113866016, -74.00144731074269 40.721251985950076))","32111.0","6308.0","379","Current","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","I","I","R","1","Protected",,,,"2008-11-04T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0022081964403 40.72162113866016, -74.00144731074269 40.721251985950076))","32111.0","379.0","NA","Retired","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","II","II","R","1","Conventional",,,,"2006-10-01T00:00:00.000","2008-11-04T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00144731074269 40.721251985950076, -74.00066072552613 40.72083979479007))","32115.0","6308.0","379","Current","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","I","I","R","1","Protected",,,,"2008-11-04T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00144731074269 40.721251985950076, -74.00066072552613 40.72083979479007))","32115.0","379.0","NA","Retired","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","II","II","R","1","Conventional",,,,"2006-10-01T00:00:00.000","2008-11-04T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00437984927545 40.724054143904084, -74.00457474440597 40.724173130514465))","32119.0","131.0","NA","Current","1","BROOME ST","THOMPSON ST","6 AVE","ON","III","III","R","1","Shared",,,,"2013-11-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00261903393496 40.72488003637735, -74.0033762154541 40.725251674782236))","32132.0","2121.0","NA","Current","1","SPRING ST","VARICK ST","WOOSTER ST","ON","II","II","L","1",,"Conventional",,,"2015-07-13T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00261903393496 40.72488003637735, -74.00159653651549 40.72611887639177))","32133.0","501.0","NA","Current","1","THOMPSON ST","BLEECKER ST","BROOME ST","ON","III","III","L","1",,"Shared",,,"2009-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00193353224434 40.724551787330086, -74.00261903393496 40.72488003637735))","32136.0","2121.0","NA","Current","1","SPRING ST","VARICK ST","WOOSTER ST","ON","II","II","L","1",,"Conventional",,,"2015-07-13T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00193353224434 40.724551787330086, -74.00089769870506 40.725773106516534))","32137.0","601.0","NA","Current","1","W BROADWAY","GRAND ST","HOUSTON ST","ON","III","III","2","2","Shared","Shared",,,"2013-11-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00159653651549 40.72611887639177, -74.00234961918535 40.72649538429007))","32138.0","444.0","NA","Current","1","PRINCE ST","BOWERY","MAC DOUGAL ST","ON","II","II","R","1","Curbside",,,,"2007-10-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00112704395721 40.72416641703622, -74.00193353224434 40.724551787330086))","32140.0","2121.0","NA","Current","1","SPRING ST","VARICK ST","WOOSTER ST","ON","II","II","L","1",,"Conventional",,,"2015-07-13T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00344491485039 40.72695881624301, -74.00554514443066 40.72715691554241))","32142.0","189.0","NA","Current","1","CHARLTON ST","MAC DOUGAL ST","GREENWICH ST","ON","II","II","R","1","Conventional",,,,"2007-10-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00312206400574 40.72687712768211, -74.00314379939381 40.72688557926708, -74.00316578807951 40.72689364272168, -74.00318801822547 40.72690131444398, -74.00321047562687 40.72690859083222, -74.00323315081354 40.72691546738407, -74.0032560307644 40.72692193959717, -74.00327910245832 40.72692800567075, -74.00330235287392 40.72693366020199, -74.00332577017394 40.72693890229068, -74.00334934252075 40.72694372743445, -74.00337305570949 40.726948132932165, -74.00339689790272 40.72695211788352, -74.00342085489548 40.726955679587384, -74.00344491485039 40.72695881624301))","32146.0","189.0","NA","Current","1","CHARLTON ST","MAC DOUGAL ST","GREENWICH ST","ON","II","II","R","1","Conventional",,,,"2007-10-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00119030445727 40.72916733768623, -74.0022033725065 40.729653255192005))","32164.0","111.0","NA","Current","1","BLEECKER ST","8 AV","BOWERY","ON","II","II","L","1",,"Conventional",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00119030445727 40.72916733768623, -74.00049847685825 40.729987977100635))","32165.0","418.0","NA","Current","1","MAC DOUGAL ST","WASHINGTON SQ S","BLEECKER ST","ON","II","II","L","1",,"Curbside",,,"2009-05-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00446035697243 40.73071833832499, -74.00422350024657 40.73112754727057))","32169.0","2734.0","NA","Current","1","7 AV","BLEECKER ST","CLARKSON","ON","I","I","L","1",,"Protected",,,"2018-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00395541822209 40.7298568943615, -74.00517157394988 40.72944721023147))","32173.0","171.0","NA","Current","1","CARMINE ST","7 AV S","BLEECKER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00379036585257 40.731893462670506, -74.00357725029713 40.732263394671094))","32178.0","2734.0","NA","Current","1","7 AV","BLEECKER ST","CLARKSON","ON","I","I","L","1",,"Protected",,,"2018-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00313982250582 40.73146486731576, -74.00329861608566 40.73174307491537))","32182.0","6357.0","NA","Current","1","BLEECKER STREET","6 AV","CHRISTOPHER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00329861608566 40.73174307491537, -74.00344698183845 40.732021210557264))","32183.0","6357.0","NA","Current","1","BLEECKER STREET","6 AV","CHRISTOPHER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0028192209361 40.73091352136387, -74.00294311185286 40.73113621398397))","32185.0","6357.0","NA","Current","1","BLEECKER STREET","6 AV","CHRISTOPHER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00294311185286 40.73113621398397, -74.00313982250582 40.73146486731576))","32186.0","6357.0","NA","Current","1","BLEECKER STREET","6 AV","CHRISTOPHER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00246883997235 40.73032437267547, -74.00395541822209 40.7298568943615))","32187.0","171.0","NA","Current","1","CARMINE ST","7 AV S","BLEECKER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00246883997235 40.73032437267547, -74.0028192209361 40.73091352136387))","32188.0","6357.0","NA","Current","1","BLEECKER STREET","6 AV","CHRISTOPHER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0022034891952 40.72985286911409, -74.00246883997235 40.73032437267547))","32192.0","7740.0","NA","Current","1","BLEECKER STREET","6 AV","CHRISTOPHER ST","ON","II","II","L","1",,"Curbside Buffered",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00427755325606 40.73339151388546, -74.00456134410614 40.734009628821234))","32203.0","112.0","NA","Current","1","BLEECKER ST","8 AV","BOWERY","ON","II","II,III","L","2",,"Conventional Buffered",,"Shared","2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00397602150773 40.73291501992649, -74.00427755325606 40.73339151388546))","32204.0","6357.0","NA","Current","1","BLEECKER STREET","6 AV","CHRISTOPHER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00361195873334 40.732323794275494, -74.00397602150773 40.73291501992649))","32207.0","6357.0","NA","Current","1","BLEECKER STREET","6 AV","CHRISTOPHER ST","ON","II","II","L","1",,"Curbside",,,"2007-11-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00352021307759 40.73235558685743, -74.00303209571055 40.73321509795387))","32208.0","2733.0","NA","Current","1","7 AV","GROVE ST","BLEECKER ST","ON","II","II","L","1",,"Curbside Buffered",,,"2018-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00303209571055 40.73321509795387, -74.00278641410654 40.733632508562735))","32209.0","8202.0","NA","Current","1","7 AV","11 ST","GROVE ST","ON","I","I","L","1",,"Protected",,,"2018-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00278641410654 40.733632508562735, -74.00427755325606 40.73339151388546))","32211.0","6323.0","196","Current","1","CHRISTOPHER ST","GREENWICH ST","GREENWICH AV","ON","II","II","R","1","Curbside",,,,"2009-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00278641410654 40.733632508562735, -74.00427755325606 40.73339151388546))","32211.0","196.0","NA","Retired","1","CHRISTOPHER ST","GREENWICH ST","GREENWICH AV","ON","III","III","R","1","Shared",,,,"2004-11-01T00:00:00.000","2009-06-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.002660025946 40.73364649644152, -74.00278641410654 40.733632508562735))","32213.0","196.0","NA","Retired","1","CHRISTOPHER ST","GREENWICH ST","GREENWICH AV","ON","III","III","R","1","Shared",,,,"2004-11-01T00:00:00.000","2009-06-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.002660025946 40.73364649644152, -74.00278641410654 40.733632508562735))","32213.0","6323.0","196","Current","1","CHRISTOPHER ST","GREENWICH ST","GREENWICH AV","ON","II","II","R","1","Curbside",,,,"2009-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00239106928416 40.73433981155454, -74.00296962511015 40.73425234075494))","32222.0","510.0","NA","Retired","1","W 10 ST","BLEECKER ST","WAVERLY PL","ON","III","III","L","1",,"Signed Route",,,"2004-11-01T00:00:00.000","2009-06-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00239106928416 40.73433981155454, -74.00296962511015 40.73425234075494))","32222.0","6328.0","510","Current","1","W 10 ST","BLEECKER ST","WAVERLY PL","ON","II","II","L","1",,"Curbside",,,"2009-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00239106928416 40.73433981155454, -74.00197135333259 40.73506987927871))","32223.0","2732.0","NA","Current","1","7 AV","11 ST","GROVE ST","ON","I","I","L","1",,"Protected",,,"2018-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00175809764809 40.73376824351923, -74.002660025946 40.73364649644152))","32229.0","6323.0","196","Current","1","CHRISTOPHER ST","GREENWICH ST","GREENWICH AV","ON","II","II","R","1","Curbside",,,,"2009-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00175809764809 40.73376824351923, -74.002660025946 40.73364649644152))","32229.0","196.0","NA","Retired","1","CHRISTOPHER ST","GREENWICH ST","GREENWICH AV","ON","III","III","R","1","Shared",,,,"2004-11-01T00:00:00.000","2009-06-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00138878549427 40.734482819660876, -74.00239106928416 40.73433981155454))","32232.0","6328.0","510","Current","1","W 10 ST","BLEECKER ST","WAVERLY PL","ON","II","II","L","1",,"Curbside",,,"2009-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00138878549427 40.734482819660876, -74.00239106928416 40.73433981155454))","32232.0","510.0","NA","Retired","1","W 10 ST","BLEECKER ST","WAVERLY PL","ON","III","III","L","1",,"Signed Route",,,"2004-11-01T00:00:00.000","2009-06-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.0012047595298 40.733843091859534, -74.00175809764809 40.73376824351923))","32236.0","6323.0","196","Current","1","CHRISTOPHER ST","GREENWICH ST","GREENWICH AV","ON","II","II","R","1","Curbside",,,,"2009-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0012047595298 40.733843091859534, -74.00175809764809 40.73376824351923))","32236.0","196.0","NA","Retired","1","CHRISTOPHER ST","GREENWICH ST","GREENWICH AV","ON","III","III","R","1","Shared",,,,"2004-11-01T00:00:00.000","2009-06-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00197135333259 40.73506987927871, -74.00169304446287 40.735534590776))","32250.0","2732.0","NA","Current","1","7 AV","11 ST","GROVE ST","ON","I","I","L","1",,"Protected",,,"2018-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00169304446287 40.735534590776, -74.00155256336575 40.73579731590375))","32252.0","2732.0","NA","Current","1","7 AV","11 ST","GROVE ST","ON","I","I","L","1",,"Protected",,,"2018-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00155256336575 40.73579731590375, -74.00109395736335 40.736560232220356))","32261.0","2732.0","NA","Current","1","7 AV","11 ST","GROVE ST","ON","I","I","L","1",,"Protected",,,"2018-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00146275090454 40.737168565162975, -74.00176797962715 40.73767492529386))","32263.0","7317.0","NA","Current","1","GREENWICH AVENUE","CHRISTOPHER ST","W 12 ST","ON","III","III","2","2","Shared","Shared",,,"2023-07-12T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0007217134234 40.73592644791662, -74.00109395736335 40.736560232220356))","32265.0","7317.0","NA","Current","1","GREENWICH AVENUE","CHRISTOPHER ST","W 12 ST","ON","III","III","2","2","Shared","Shared",,,"2023-07-12T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00109395736335 40.736560232220356, -74.00146275090454 40.737168565162975))","32267.0","7317.0","NA","Current","1","GREENWICH AVENUE","CHRISTOPHER ST","W 12 ST","ON","III","III","2","2","Shared","Shared",,,"2023-07-12T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00109395736335 40.736560232220356, -74.00064726161682 40.73722952799306))","32268.0","2533.0","NA","Current","1","7 AVE","W 12 ST","W 11 ST","ON","II","II","L","1",,"Curbside Buffered",,,"2017-12-29T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00417529818968 40.738134347133524, -74.00386030276951 40.73839487493284))","32270.0","8230.0","50","Current","1","8 AV","BLEECKER ST","HORATIO ST","ON","II","II","R","1","Curbside",,,,"2008-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00417529818968 40.738134347133524, -74.00386030276951 40.73839487493284))","32270.0","50.0","NA","Retired","1","8 AV","HUDSON ST","W 14 ST","ON","II","II","R","1","Conventional",,,,"1997-05-01T00:00:00.000","2008-12-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00386030276951 40.73839487493284, -74.00344568344013 40.73875589250665))","32274.0","50.0","NA","Retired","1","8 AV","HUDSON ST","W 14 ST","ON","II","II","R","1","Conventional",,,,"1997-05-01T00:00:00.000","2008-12-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00386030276951 40.73839487493284, -74.00344568344013 40.73875589250665))","32274.0","8231.0","50","Current","1","8 AV","BLEECKER ST","HORATIO ST","ON","I","I","R","1","Protected",,,,"2008-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00386493197294 40.739418112313786, -74.00529178802786 40.740023223499094))","32278.0","2754.0","NA","Current","1","13 ST","8 AV","HUDSON ST","ON","II","II","R","1","Conventional",,,,"2018-12-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00344568344013 40.73875589250665, -74.00385929352935 40.73875314184635))","32279.0","4639.0",,"Current","1","HORATIO ST","W 4 ST","8 AV","ON","I","I","L","1",,"Sidewalk",,,"2018-12-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00344568344013 40.73875589250665, -74.0030820867508 40.73907760006887))","32280.0","6304.0","51","Current","1","8 AV","HORATIO ST","W 13 ST","ON","III","III","R","1","Shared",,,,"2008-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00344568344013 40.73875589250665, -74.0030820867508 40.73907760006887))","32280.0","50.0","NA","Retired","1","8 AV","HORATIO ST","W 13 ST","ON","II","II","R","1","Conventional",,,,"1997-05-01T00:00:00.000","2008-12-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.0030820867508 40.73907760006887, -74.00386493197294 40.739418112313786))","32281.0","2764.0","NA","Current","1","13 ST","8 AV","WEST 4 ST","ON","III","III","R","1","Shared",,,,"2018-12-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0030820867508 40.73907760006887, -74.00278935446903 40.73939602692736))","32282.0","50.0","NA","Retired","1","8 AV","HUDSON ST","W 14 ST","ON","II","II","R","1","Conventional",,,,"1997-05-01T00:00:00.000","2008-12-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.0030820867508 40.73907760006887, -74.00278935446903 40.73939602692736))","32282.0","6303.0","50","Current","1","8 AV","W 13TH ST","W 14TH ST","ON","I","I","R","1","Protected",,,,"2008-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00278935446903 40.73939602692736, -74.0025238155258 40.73975264294851))","32283.0","8232.0","50","Current","1","8 AV","W 13TH ST","W 14TH ST","ON","II","II","R","1","Curbside",,,,"2008-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00278935446903 40.73939602692736, -74.0025238155258 40.73975264294851))","32283.0","50.0","NA","Retired","1","8 AV","HUDSON ST","W 14 ST","ON","II","II","R","1","Conventional",,,,"1997-05-01T00:00:00.000","2008-12-01T00:00:00.000",,,,,
"MULTILINESTRING ((-74.0025238155258 40.73975264294851, -74.0020193788379 40.740444089367394))","32285.0","52.0","NA","Retired","1","8 AV","W 14 ST","W 23 ST","ON","II","II","R","1","Conventional",,,,"2006-04-01T00:00:00.000","2009-04-06T00:00:00.000",,,,,
"MULTILINESTRING ((-74.0025238155258 40.73975264294851, -74.0020193788379 40.740444089367394))","32285.0","6315.0","52","Current","1","8 AV","W 14 ST","W 23 ST","ON","I","I","R","1","Protected",,,,"2009-04-06T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00203202373785 40.73813046067194, -74.00240554018299 40.73876124092884))","32287.0","2760.0","NA","Current","1","GREENWICH ST","W 12 ST","W 13 ST","ON","III","III","2","2","Shared","Shared",,,"2018-12-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00176797962715 40.73767492529386, -74.00203202373785 40.73813046067194))","32292.0","2760.0","NA","Current","1","GREENWICH ST","W 12 ST","W 13 ST","ON","III","III","2","2","Shared","Shared",,,"2018-12-26T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00441531053238 40.742284118589446, -74.00396899036579 40.7428630076988))","32293.0","64.0","NA","Current","1","9 AV","W 16 ST","W 31 ST","ON","I","I","L","1",,"Protected",,,"2007-10-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0020193788379 40.740444089367394, -74.00155531482731 40.74108002571326))","32298.0","6315.0","52","Current","1","8 AV","W 14 ST","W 23 ST","ON","I","I","R","1","Protected",,,,"2009-04-06T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0020193788379 40.740444089367394, -74.00155531482731 40.74108002571326))","32298.0","52.0","NA","Retired","1","8 AV","W 14 ST","W 23 ST","ON","II","II","R","1","Conventional",,,,"2006-04-01T00:00:00.000","2009-04-06T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00155531482731 40.74108002571326, -74.00441531053238 40.742284118589446))","32299.0","623.0","NA","Current","1","WEST 16 STREET","10 AV","6 AV","ON","II","II","L","1",,"Conventional",,,"2013-09-25T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00155531482731 40.74108002571326, -74.00112917514939 40.741668097817914))","32300","52.0","NA","Retired","1","8 AV","W 14 ST","W 23 ST","ON","II","II","R","1","Conventional",,,,"2006-04-01T00:00:00.000","2009-04-06T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00155531482731 40.74108002571326, -74.00112917514939 40.741668097817914))","32300","6315.0","52","Current","1","8 AV","W 14 ST","W 23 ST","ON","I","I","R","1","Protected",,,,"2009-04-06T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00112917514939 40.741668097817914, -74.00070275560931 40.74225361085891))","32302.0","52.0","NA","Retired","1","8 AV","W 14 ST","W 23 ST","ON","II","II","R","1","Conventional",,,,"2006-04-01T00:00:00.000","2009-04-06T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00112917514939 40.741668097817914, -74.00070275560931 40.74225361085891))","32302.0","6315.0","52","Current","1","8 AV","W 14 ST","W 23 ST","ON","I","I","R","1","Protected",,,,"2009-04-06T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00081842595583 40.71692970794558, -74.00027443688424 40.717619402169106))","32303.0","7016.0","NA","Current","1","CENTRE ST","WORTH ST","BROOME ST","ON","I","I","R","1","Protected",,,,"2023-07-17T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00027443688424 40.717619402169106, -73.99995620918686 40.71801709471199))","32305.0","7016.0","NA","Current","1","CENTRE ST","WORTH ST","BROOME ST","ON","I","I","R","1","Protected",,,,"2023-07-17T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.99995620918686 40.71801709471199, -73.99942330423573 40.718680273806456))","32310.0","7016.0","NA","Current","1","CENTRE ST","WORTH ST","BROOME ST","ON","I","I","R","1","Protected",,,,"2023-07-17T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00066072552613 40.72083979479007, -73.99986798358019 40.72043265819031))","32327.0","379.0","NA","Retired","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","II","II","R","1","Conventional",,,,"2006-10-01T00:00:00.000","2008-11-04T00:00:00.000",,,,,
"MULTILINESTRING ((-74.00066072552613 40.72083979479007, -73.99986798358019 40.72043265819031))","32327.0","6308.0","379","Current","1","GRAND ST","W BROADWAY","CHRYSTIE ST","ON","I","I","R","1","Protected",,,,"2008-11-04T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00053195572396 40.71843023844442, -73.99984031446063 40.71919298042258))","32330.0","7017.0","4307","Current","1","LAFAYETTE ST","KENMARE ST","WORTH ST","ON","I","I","L","1",,"Protected",,,"2023-07-17T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00053195572396 40.71843023844442, -73.99984031446063 40.71919298042258))","32330.0","4307.0","416","Retired","1","LAFAYETTE ST","SPRING ST","WORTH ST","ON","II","II","L","1",,"Conventional",,,"2007-09-01T00:00:00.000","2023-07-17T00:00:00.000",,,,,
