"the_geom","boro","unitid","point_x","point_y","cb","latitude","longitude"
"POINT (-73.93724744022644 40.701924299818884)","3","H311745","1001649.578","195012.651","301","40.70192337","-73.93724823"
"POINT (-74.0142386470123 40.614367465327966)","3","H308173","980296.825","163107.341","310","40.61436844","-74.01423645"
"POINT (-73.93680700390374 40.73723992436385)","4","H439059","1001762.417","207879.301","402","40.73723984","-73.93680573"
"POINT (-73.90806940654285 40.74346662271169)","4","H437248","1009723.96675","210154.935","402","40.74346542","-73.9080658"
"POINT (-73.8660249491046 40.87513011014412)","2","H208627","1021301.111","258139.596","212","40.8751297","-73.86602783"
"POINT (-74.1134163737731 40.62322923024709)","5","H510307","952765.609","166355.976","501","40.62322998","-74.11341858"
"POINT (-73.91289810477528 40.759272312710706)","4","H438282","1008380.209","215912.088","401","40.75927353","-73.9128952"
"POINT (-73.80806888770212 40.751572824183)","4","H426780","1037427.606","213153.175","407","40.75157166","-73.80806732"
"POINT (-73.92750580668012 40.69462261840113)","3","H317016","1004352.869","192354.518","304","40.69462204","-73.92750549"
"POINT (-73.90176768833088 40.63092581275768)","3","H328507","1011516.152","169154.952","318","40.63092422","-73.90176392"
"POINT (-73.94571919366537 40.6590361712623)","3","H315552","999310.274","179385.702","309","40.65903473","-73.94571686"
"POINT (-74.13810193074211 40.57044646587205)","5","H509460","945882.585","147135.73","503","40.57044601","-74.13809967"
"POINT (-73.8971289199624 40.73154252323169)","4","H435856","1012760.676","205813.983","405","40.73154068","-73.89712524"
"POINT (-73.84469300170376 40.84008886240062)","2","H213126","1027223.14","245382.482","210","40.84008789","-73.84469604"
"POINT (-73.90518953930442 40.89367205085385)","2","H200381","1010462.746","264881.023","208","40.89367294","-73.90518951"
"POINT (-73.9857783355433 40.645644389494386)","3","H309764","988196.61","174502.36","307","40.64564","-73.9857"
"POINT (-73.96649095445898 40.63817586300954)","3","H314591","993550.032","171782.831","314","40.63817596","-73.9664917"
"POINT (-73.82316326961205 40.87806780780127)","2","H213618","1033152.433","259230.943","210","40.87806702","-73.82316589"
"POINT (-73.77321157753173 40.67212415085942)","4","H406585","1047160.305","184230.793","412","40.67212296","-73.77320862"
"POINT (-73.97904889475609 40.63877270153317)","3","H309903","990064.675","171999.192","312","40.63877106","-73.97904968"
"POINT (-74.1669145903739 40.626370178028424)","5","H501538","937916.697","167524.068","501","40.62637017","-74.16691459"
"POINT (-73.79830008196996 40.808709344991925)","2","H214923","1040086.274","233975.97","210","40.80870819","-73.7983017"
"POINT (-73.83079183880254 40.679498474231586)","4","H408258","1031182.578","186881.362","410","40.67949677","-73.83079529"
"POINT (-73.9904464572841 40.67858860220646)","3","H305193","986899.865","186504.685","306","40.67858887","-73.990448"
"POINT (-73.92523357946958 40.64952611833207)","3","H320774","1004996.988","175925.114","317","40.64952469","-73.92523193"
"POINT (-74.1542018381764 40.55089751794525)","5","H508759","941397.183","140021.047","503","40.55089569","-74.15420532"
"POINT (-73.88947238043161 40.868776795020224)","2","H205039","1014819.594","255815.785","207","40.86877823","-73.88947296"
"POINT (-73.93692643212198 40.67455362380917)","3","H315798","1001745.765","185040.781","308","40.67455292","-73.9369278"
"POINT (-73.80448128504518 40.589637836267805)","4","H416772","1038553.291","154157.9835","414","40.58963776","-73.80448151"
"POINT (-73.82335055137563 40.7474432430101)","4","H427273","1033196.615","211639.731","407","40.74744415","-73.823349"
"POINT (-73.81851998050855 40.7669822727923)","4","H429294","1034520.3355","218761.15725","407","40.76698227","-73.81851998"
"POINT (-74.13990725079726 40.606805334468596)","5","H506547","945402.189","160382.962","502","40.60680389","-74.13990784"
"POINT (-73.75812497354707 40.751225459334464)","4","H419670","1051265.68975","213060.8835","411","40.75122452","-73.75812531"
"POINT (-73.96351270327298 40.61818110146343)","3","H319394","994379.644","164498.537","314","40.61817932","-73.96351624"
"POINT (-74.08495111333762 40.61595872627593)","5","H513178","960664.995","163698.194","501","40.61595917","-74.08495331"
"POINT (-73.89973927786424 40.69638360354947)","4","H433809","1012051.878","193003.689","405","40.69638443","-73.89974213"
"POINT (-73.85939387742579 40.706913164765666)","4","H427796","1023233.3225","196855.2985","405","40.70691299","-73.85939026"
